Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index
ORD_9430ba04,buyer_purchaser_1: Queued Task (send_order),buyer_purchaser_1,2020-01-10 20:18:52.505,Variant 1,1
ORD_9430ba04,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-10 20:33:52.885,Variant 1,1
ORD_9430ba04,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-10 20:38:53.190,Variant 1,1
ORD_9430ba04,buyer: Send order,buyer,2020-01-10 20:38:53.332,Variant 1,1
ORD_9430ba04,seller_clerk_1: Queued Task (on_order),seller_clerk_1,2020-01-10 20:43:53.336,Variant 1,1
ORD_9430ba04,seller_clerk_1: Started Task (on_order),seller_clerk_1,2020-01-11 04:23:10.931,Variant 1,1
ORD_9430ba04,seller_clerk_1: Completed Task (on_order),seller_clerk_1,2020-01-11 04:58:31.608,Variant 1,1
ORD_9430ba04,seller_clerk_1: Queued Task (send_reject),seller_clerk_1,2020-01-11 04:58:31.653,Variant 1,1
ORD_9430ba04,seller_clerk_1: Started Task (send_reject),seller_clerk_1,2020-01-11 12:37:52.823,Variant 1,1
ORD_9430ba04,seller_clerk_1: Completed Task (send_reject),seller_clerk_1,2020-01-11 12:42:52.908,Variant 1,1
ORD_9430ba04,seller: Send reject,seller,2020-01-11 12:42:52.952,Variant 1,1
ORD_9430ba04,buyer_purchaser_1: Queued Task (on_reject),buyer_purchaser_1,2020-01-11 12:52:53.052,Variant 1,1
ORD_9430ba04,buyer_purchaser_1: Started Task (on_reject),buyer_purchaser_1,2020-01-11 12:57:53.126,Variant 1,1
ORD_9430ba04,buyer_purchaser_1: Completed Task (on_reject),buyer_purchaser_1,2020-01-11 13:02:53.232,Variant 1,1
ORD_2c3e2c9d,buyer_purchaser_1: Queued Task (send_order),buyer_purchaser_1,2020-01-10 20:28:52.815,Variant 18,18
ORD_2c3e2c9d,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-10 20:38:53.197,Variant 18,18
