enactment_id,activity_name,timestamp,agent_name
ORD_76353031,buyer: Send order,2020-01-01 09:05:09.113,buyer
ORD_0cf97731,buyer: Send order,2020-01-01 10:05:57.820,buyer
ORD_e0a7aca5,buyer: Send order,2020-01-01 10:10:57.936,buyer
ORD_76353031,seller: Send reject,2020-01-01 10:15:58.011,seller
ORD_e0a7aca5,seller_accountant_1: Received Task (send_invoice),2020-01-01 11:57:50.462,seller_accountant_1
ORD_e0a7aca5,seller_accountant_1: Started Task (send_invoice),2020-01-01 12:02:50.558,seller_accountant_1
ORD_0cf97731,seller: Send reject,2020-01-01 12:02:50.668,seller
ORD_e0a7aca5,seller_accountant_1: Completed Task (send_invoice),2020-01-01 12:34:03.770,seller_accountant_1
ORD_e0a7aca5,seller: Send invoice,2020-01-01 12:34:03.882,seller
ORD_a7a691b7,buyer: Send order,2020-01-01 12:49:04.445,buyer
ORD_e0a7aca5,buyer: Send cancel_req,2020-01-01 12:59:04.658,buyer
ORD_a7a691b7,seller_accountant_1: Received Task (send_invoice),2020-01-01 13:46:01.091,seller_accountant_1
ORD_a7a691b7,seller_accountant_1: Started Task (send_invoice),2020-01-01 13:51:01.188,seller_accountant_1
ORD_107e679f,buyer: Send order,2020-01-01 13:51:01.330,buyer
ORD_a7a691b7,seller_accountant_1: Completed Task (send_invoice),2020-01-01 14:19:01.444,seller_accountant_1
ORD_a7a691b7,seller: Send invoice,2020-01-01 14:19:01.550,seller
ORD_a7a691b7,seller: Send delivery_req,2020-01-01 14:49:41.654,seller
ORD_a7a691b7,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 15:30:17.589,logistics_warehouseman_1
ORD_a7a691b7,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 15:35:17.641,logistics_warehouseman_1
ORD_107e679f,seller_accountant_1: Received Task (send_invoice),2020-01-01 15:35:17.644,seller_accountant_1
ORD_e0a7aca5,seller: Send cancel_ack,2020-01-01 15:35:17.748,seller
ORD_107e679f,seller_accountant_1: Started Task (send_invoice),2020-01-01 16:31:26.946,seller_accountant_1
ORD_a7a691b7,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 16:31:26.950,logistics_warehouseman_1
ORD_a7a691b7,logistics_courier_1: Received Task (send_deliver),2020-01-01 16:31:27.001,logistics_courier_1
ORD_a7a691b7,logistics_courier_1: Started Task (send_deliver),2020-01-01 16:36:27.053,logistics_courier_1
ORD_6d059236,buyer: Send order,2020-01-01 16:36:27.199,buyer
ORD_a7a691b7,buyer: Send pay,2020-01-01 16:51:27.305,buyer
ORD_a7a691b7,seller_accountant_1: Queued Task (on_pay),2020-01-01 17:01:27.400,seller_accountant_1
ORD_107e679f,seller: Send delivery_req,2020-01-01 17:01:27.503,seller
ORD_107e679f,seller_accountant_1: Completed Task (send_invoice),2020-01-01 17:02:15.151,seller_accountant_1
ORD_a7a691b7,seller_accountant_1: Started Task (on_pay),2020-01-01 17:02:15.156,seller_accountant_1
ORD_107e679f,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 17:02:15.195,logistics_warehouseman_1
ORD_107e679f,seller: Send invoice,2020-01-01 17:02:15.284,seller
ORD_a7a691b7,seller_accountant_1: Completed Task (on_pay),2020-01-01 17:32:15.259,seller_accountant_1
ORD_107e679f,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 17:32:15.259,logistics_warehouseman_1
ORD_317d10bb,buyer: Send order,2020-01-01 17:37:15.504,buyer
ORD_6d059236,seller_accountant_1: Received Task (send_invoice),2020-01-01 17:50:20.083,seller_accountant_1
ORD_6d059236,seller_accountant_1: Started Task (send_invoice),2020-01-01 17:55:20.156,seller_accountant_1
ORD_ab8ac2dd,buyer: Send order,2020-01-01 17:55:20.304,buyer
ORD_6d059236,seller: Send delivery_req,2020-01-01 18:25:20.393,seller
ORD_6d059236,seller_accountant_1: Completed Task (send_invoice),2020-01-01 18:27:36.520,seller_accountant_1
ORD_6d059236,logistics_warehouseman_1: Queued Task (on_delivery_req),2020-01-01 18:27:36.565,logistics_warehouseman_1
ORD_6d059236,seller: Send invoice,2020-01-01 18:27:36.649,seller
ORD_107e679f,buyer: Send cancel_req,2020-01-01 18:35:20.621,buyer
ORD_107e679f,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 18:43:43.014,logistics_warehouseman_1
ORD_6d059236,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 18:43:43.020,logistics_warehouseman_1
ORD_107e679f,logistics_courier_2: Received Task (send_deliver),2020-01-01 18:43:43.059,logistics_courier_2
ORD_107e679f,logistics_courier_2: Started Task (send_deliver),2020-01-01 19:13:23.569,logistics_courier_2
ORD_317d10bb,seller_accountant_1: Received Task (send_invoice),2020-01-01 19:18:23.695,seller_accountant_1
ORD_317d10bb,seller_accountant_1: Started Task (send_invoice),2020-01-01 19:33:51.176,seller_accountant_1
