Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index
ORD_21cfbedf,buyer_purchaser_1: Received Task (send_order),buyer_purchaser_1,2020-01-25 19:03:18.674,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-25 19:09:53.772,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-25 19:14:53.860,Variant 7,7
ORD_21cfbedf,buyer: Send order,buyer,2020-01-25 19:14:54.004,Variant 7,7
ORD_21cfbedf,seller_clerk_1: Received Task (on_order),seller_clerk_1,2020-01-25 19:29:17.756,Variant 7,7
ORD_21cfbedf,seller_clerk_1: Started Task (on_order),seller_clerk_1,2020-01-25 19:39:17.814,Variant 7,7
ORD_21cfbedf,seller_clerk_1: Completed Task (on_order),seller_clerk_1,2020-01-25 20:33:40.942,Variant 7,7
ORD_21cfbedf,seller_clerk_2: Received Task (send_delivery_req),seller_clerk_2,2020-01-25 20:33:40.990,Variant 7,7
ORD_21cfbedf,seller_accountant_1: Received Task (send_invoice),seller_accountant_1,2020-01-25 20:33:40.990,Variant 7,7
ORD_21cfbedf,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-25 20:38:41.048,Variant 7,7
ORD_21cfbedf,seller_clerk_2: Started Task (send_delivery_req),seller_clerk_2,2020-01-25 20:38:41.050,Variant 7,7
ORD_21cfbedf,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-25 21:08:15.701,Variant 7,7
ORD_21cfbedf,seller: Send invoice,seller,2020-01-25 21:08:15.748,Variant 7,7
ORD_21cfbedf,seller_clerk_2: Completed Task (send_delivery_req),seller_clerk_2,2020-01-25 21:08:41.567,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Queued Task (on_invoice),buyer_purchaser_1,2020-01-25 21:08:41.610,Variant 7,7
ORD_21cfbedf,seller: Send delivery_req,seller,2020-01-25 21:08:41.614,Variant 7,7
ORD_21cfbedf,logistics_warehouseman_1: Received Task (on_delivery_req),logistics_warehouseman_1,2020-01-25 21:14:51.361,Variant 7,7
ORD_21cfbedf,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-25 21:19:51.420,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-25 21:19:51.429,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-25 21:24:51.633,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Queued Task (send_pay),buyer_purchaser_1,2020-01-25 21:29:51.777,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-25 21:44:51.949,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-25 21:59:52.368,Variant 7,7
ORD_21cfbedf,buyer: Send pay,buyer,2020-01-25 21:59:52.508,Variant 7,7
ORD_21cfbedf,seller_accountant_1: Queued Task (on_pay),seller_accountant_1,2020-01-25 22:00:31.359,Variant 7,7
ORD_21cfbedf,logistics_warehouseman_1: Completed Task (on_delivery_req),logistics_warehouseman_1,2020-01-25 22:20:12.676,Variant 7,7
ORD_21cfbedf,logistics_courier_1: Queued Task (send_deliver),logistics_courier_1,2020-01-25 22:20:12.719,Variant 7,7
ORD_21cfbedf,seller_accountant_1: Started Task (on_pay),seller_accountant_1,2020-01-25 22:57:31.067,Variant 7,7
ORD_21cfbedf,seller_accountant_1: Completed Task (on_pay),seller_accountant_1,2020-01-25 23:27:31.675,Variant 7,7
ORD_21cfbedf,logistics_courier_1: Started Task (send_deliver),logistics_courier_1,2020-01-31 06:16:20.397,Variant 7,7
ORD_21cfbedf,logistics_courier_1: Completed Task (send_deliver),logistics_courier_1,2020-01-31 12:06:12.071,Variant 7,7
ORD_21cfbedf,logistics: Send deliver,logistics,2020-01-31 12:06:12.116,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Received Task (on_deliver),buyer_purchaser_1,2020-01-31 18:13:40.896,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Started Task (on_deliver),buyer_purchaser_1,2020-02-01 00:22:07.919,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Completed Task (on_deliver),buyer_purchaser_1,2020-02-01 00:41:05.783,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Queued Task (send_confirm),buyer_purchaser_1,2020-02-01 00:54:10.690,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Started Task (send_confirm),buyer_purchaser_1,2020-02-01 01:20:23.612,Variant 7,7
ORD_21cfbedf,buyer_purchaser_1: Completed Task (send_confirm),buyer_purchaser_1,2020-02-01 01:30:23.705,Variant 7,7
ORD_21cfbedf,buyer: Send confirm,buyer,2020-02-01 01:30:23.851,Variant 7,7
ORD_21cfbedf,seller_clerk_3: Received Task (on_confirm),seller_clerk_3,2020-02-01 02:04:10.819,Variant 7,7
ORD_21cfbedf,seller_clerk_3: Started Task (on_confirm),seller_clerk_3,2020-02-01 02:14:10.878,Variant 7,7
ORD_21cfbedf,seller_clerk_3: Completed Task (on_confirm),seller_clerk_3,2020-02-01 02:24:11.090,Variant 7,7
ORD_ce4428af,buyer_purchaser_1: Received Task (send_order),buyer_purchaser_1,2020-01-25 19:39:17.855,Variant 8,8
ORD_ce4428af,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-25 19:53:46.977,Variant 8,8
ORD_ce4428af,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-25 19:58:47.179,Variant 8,8
ORD_ce4428af,buyer: Send order,buyer,2020-01-25 19:58:47.325,Variant 8,8
ORD_ce4428af,seller_clerk_1: Queued Task (on_order),seller_clerk_1,2020-01-25 20:03:24.864,Variant 8,8
ORD_ce4428af,seller_clerk_1: Started Task (on_order),seller_clerk_1,2020-01-25 20:33:40.949,Variant 8,8
ORD_ce4428af,seller_clerk_1: Completed Task (on_order),seller_clerk_1,2020-01-25 21:21:43.368,Variant 8,8
ORD_ce4428af,seller_accountant_1: Received Task (send_invoice),seller_accountant_1,2020-01-25 21:21:43.413,Variant 8,8
ORD_ce4428af,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-25 21:24:51.633,Variant 8,8
ORD_ce4428af,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-25 21:58:37.763,Variant 8,8
ORD_ce4428af,seller: Send invoice,seller,2020-01-25 21:58:37.809,Variant 8,8
ORD_ce4428af,buyer_purchaser_1: Queued Task (on_invoice),buyer_purchaser_1,2020-01-25 22:00:31.352,Variant 8,8
ORD_ce4428af,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-25 22:04:52.578,Variant 8,8
