enactment_id,activity_name,timestamp,agent_name
ORD_fb7a399a,seller_clerk_2: Started Task (on_order),2020-01-28 04:12:40.921,seller_clerk_2
ORD_6f9e40a5,seller_clerk_2: Queued Task (send_delivery_req),2020-01-28 04:12:40.962,seller_clerk_2
ORD_6f9e40a5,seller_accountant_1: Queued Task (send_invoice),2020-01-28 04:12:40.963,seller_accountant_1
ORD_98f3221d,seller_accountant_1: Completed Task (send_invoice),2020-01-28 04:39:06.946,seller_accountant_1
ORD_6f9e40a5,seller_accountant_1: Started Task (send_invoice),2020-01-28 04:39:06.952,seller_accountant_1
ORD_98f3221d,seller: Send invoice,2020-01-28 04:39:06.990,seller
ORD_ece26018,seller_clerk_1: Completed Task (on_order),2020-01-28 04:48:20.099,seller_clerk_1
ORD_57057330,seller_clerk_1: Started Task (on_order),2020-01-28 04:48:20.104,seller_clerk_1
ORD_98f3221d,buyer_purchaser_1: Received Task (on_invoice),2020-01-28 04:48:20.138,buyer_purchaser_1
ORD_5ec8c6dd,buyer_purchaser_1: Received Task (send_order),2020-01-28 04:48:20.140,buyer_purchaser_1
ORD_ece26018,seller_clerk_1: Queued Task (send_delivery_req),2020-01-28 04:48:20.144,seller_clerk_1
ORD_ece26018,seller_accountant_1: Queued Task (send_invoice),2020-01-28 04:48:20.144,seller_accountant_1
ORD_98f3221d,buyer_purchaser_1: Started Task (on_invoice),2020-01-28 04:55:56.632,buyer_purchaser_1
ORD_dae943c7,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-28 04:55:56.634,logistics_warehouseman_1
ORD_4ff39da0,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-28 04:55:56.639,logistics_warehouseman_1
ORD_dae943c7,logistics_courier_1: Queued Task (send_deliver),2020-01-28 04:55:56.679,logistics_courier_1
ORD_fb7a399a,seller_clerk_2: Completed Task (on_order),2020-01-28 04:56:15.318,seller_clerk_2
ORD_622c8921,seller_clerk_2: Started Task (on_order),2020-01-28 04:56:15.325,seller_clerk_2
ORD_fb7a399a,seller_clerk_2: Queued Task (send_delivery_req),2020-01-28 04:56:15.367,seller_clerk_2
ORD_fb7a399a,seller_accountant_1: Queued Task (send_invoice),2020-01-28 04:56:15.367,seller_accountant_1
ORD_98f3221d,buyer_purchaser_1: Completed Task (on_invoice),2020-01-28 05:00:56.841,buyer_purchaser_1
ORD_5ec8c6dd,buyer_purchaser_1: Started Task (send_order),2020-01-28 05:00:56.846,buyer_purchaser_1
ORD_5ec8c6dd,buyer_purchaser_1: Completed Task (send_order),2020-01-28 05:05:56.939,buyer_purchaser_1
ORD_98f3221d,buyer_purchaser_1: Received Task (send_pay),2020-01-28 05:05:56.983,buyer_purchaser_1
ORD_5ec8c6dd,buyer: Send order,2020-01-28 05:05:57.087,buyer
ORD_6f9e40a5,seller_accountant_1: Completed Task (send_invoice),2020-01-28 05:12:24.017,seller_accountant_1
ORD_98f3221d,buyer_purchaser_1: Started Task (send_pay),2020-01-28 05:12:24.017,buyer_purchaser_1
ORD_ece26018,seller_accountant_1: Started Task (send_invoice),2020-01-28 05:12:24.024,seller_accountant_1
ORD_6f9e40a5,seller: Send invoice,2020-01-28 05:12:24.063,seller
