Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index
ORD_4e1a2624,buyer_purchaser_1: Received Task (send_order),buyer_purchaser_1,2020-01-16 09:44:25.358,Variant 15,15
ORD_4e1a2624,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-16 09:53:59.478,Variant 15,15
ORD_4e1a2624,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-16 09:58:59.586,Variant 15,15
ORD_4e1a2624,buyer: Send order,buyer,2020-01-16 09:58:59.732,Variant 15,15
ORD_4e1a2624,seller_clerk_1: Queued Task (on_order),seller_clerk_1,2020-01-16 10:07:13.800,Variant 15,15
ORD_4e1a2624,seller_clerk_1: Started Task (on_order),seller_clerk_1,2020-01-16 14:54:30.949,Variant 15,15
ORD_4e1a2624,seller_clerk_1: Completed Task (on_order),seller_clerk_1,2020-01-16 15:19:56.242,Variant 15,15
ORD_4e1a2624,seller_clerk_1: Queued Task (send_delivery_req),seller_clerk_1,2020-01-16 15:19:56.321,Variant 15,15
ORD_4e1a2624,seller_accountant_1: Queued Task (send_invoice),seller_accountant_1,2020-01-16 15:19:56.321,Variant 15,15
ORD_4e1a2624,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-16 15:48:48.083,Variant 15,15
ORD_4e1a2624,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-16 16:18:45.873,Variant 15,15
ORD_4e1a2624,seller: Send invoice,seller,2020-01-16 16:18:45.947,Variant 15,15
ORD_4e1a2624,buyer_purchaser_1: Queued Task (on_invoice),buyer_purchaser_1,2020-01-16 16:30:14.954,Variant 15,15
ORD_4e1a2624,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-16 16:45:15.226,Variant 15,15
ORD_4e1a2624,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-16 16:50:15.427,Variant 15,15
ORD_4e1a2624,buyer_purchaser_1: Queued Task (send_pay),buyer_purchaser_1,2020-01-16 16:56:39.993,Variant 15,15
ORD_4e1a2624,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-16 17:20:34.490,Variant 15,15
