enactment_id,activity_name,timestamp,agent_name
ORD_8c65605d,buyer: Send order,2020-01-01 09:05:08.094,buyer
ORD_8c65605d,seller_accountant_1: Received Task (send_invoice),2020-01-01 09:56:35.284,seller_accountant_1
ORD_8c65605d,seller_accountant_1: Started Task (send_invoice),2020-01-01 09:56:35.352,seller_accountant_1
ORD_8c65605d,seller: Send delivery_req,2020-01-01 10:26:35.598,seller
ORD_8c65605d,seller_accountant_1: Completed Task (send_invoice),2020-01-01 10:30:41.736,seller_accountant_1
ORD_8c65605d,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 10:30:41.873,logistics_warehouseman_1
ORD_8c65605d,seller: Send invoice,2020-01-01 10:30:41.875,seller
ORD_8c65605d,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 10:30:41.941,logistics_warehouseman_1
ORD_8c65605d,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 11:37:14.908,logistics_warehouseman_1
ORD_8c65605d,logistics_courier_1: Received Task (send_deliver),2020-01-01 11:42:15.043,logistics_courier_1
ORD_8c65605d,logistics_courier_1: Started Task (send_deliver),2020-01-01 11:42:15.120,logistics_courier_1
ORD_8c65605d,logistics_courier_1: Completed Task (send_deliver),2020-01-01 17:38:00.899,logistics_courier_1
ORD_8c65605d,logistics: Send deliver,2020-01-01 17:38:01.032,logistics
ORD_8c65605d,buyer: Send pay,2020-01-01 17:53:01.149,buyer
ORD_8c65605d,seller_accountant_1: Received Task (on_pay),2020-01-01 17:53:01.244,seller_accountant_1
ORD_8c65605d,seller_accountant_1: Started Task (on_pay),2020-01-01 18:06:46.250,seller_accountant_1
ORD_8c65605d,seller_accountant_1: Completed Task (on_pay),2020-01-01 18:36:46.360,seller_accountant_1
ORD_8c65605d,buyer: Send confirm,2020-01-01 18:46:46.715,buyer
ORD_35460120,buyer: Send order,2020-01-01 19:01:48.287,buyer
ORD_35460120,seller_accountant_1: Received Task (send_invoice),2020-01-01 19:37:44.328,seller_accountant_1
ORD_35460120,seller_accountant_1: Started Task (send_invoice),2020-01-01 19:37:44.424,seller_accountant_1
ORD_35460120,seller: Send delivery_req,2020-01-01 20:07:44.641,seller
ORD_35460120,seller_accountant_1: Completed Task (send_invoice),2020-01-01 20:12:17.724,seller_accountant_1
ORD_35460120,seller: Send invoice,2020-01-01 20:12:17.836,seller
ORD_35460120,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 20:12:44.750,logistics_warehouseman_1
ORD_35460120,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 20:12:44.845,logistics_warehouseman_1
ORD_27cdca89,buyer: Send order,2020-01-01 20:12:44.885,buyer
ORD_35460120,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 21:13:04.263,logistics_warehouseman_1
ORD_35460120,logistics_courier_2: Received Task (send_deliver),2020-01-01 21:18:04.375,logistics_courier_2
ORD_35460120,logistics_courier_2: Started Task (send_deliver),2020-01-01 21:57:22.100,logistics_courier_2
ORD_35460120,logistics_courier_2: Completed Task (send_deliver),2020-01-02 05:06:03.367,logistics_courier_2
ORD_27cdca89,seller_accountant_1: Received Task (send_invoice),2020-01-02 05:06:03.374,seller_accountant_1
ORD_35460120,logistics: Send deliver,2020-01-02 05:06:03.478,logistics
ORD_27cdca89,seller_accountant_1: Started Task (send_invoice),2020-01-02 05:21:03.473,seller_accountant_1
ORD_35460120,buyer: Send pay,2020-01-02 05:21:03.619,buyer
ORD_27cdca89,seller_accountant_1: Completed Task (send_invoice),2020-01-02 05:42:19.721,seller_accountant_1
