Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index
ORD_e85646dc,buyer_purchaser_1: Received Task (send_order),buyer_purchaser_1,2020-01-26 07:54:53.598,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-26 08:14:53.769,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-26 08:19:53.866,Variant 22,22
ORD_e85646dc,buyer: Send order,buyer,2020-01-26 08:19:54.013,Variant 22,22
ORD_e85646dc,seller_clerk_1: Queued Task (on_order),seller_clerk_1,2020-01-26 08:32:34.621,Variant 22,22
ORD_e85646dc,seller_clerk_1: Started Task (on_order),seller_clerk_1,2020-01-26 08:42:34.685,Variant 22,22
ORD_e85646dc,seller_clerk_1: Completed Task (on_order),seller_clerk_1,2020-01-26 09:38:45.578,Variant 22,22
ORD_e85646dc,seller_clerk_1: Received Task (send_delivery_req),seller_clerk_1,2020-01-26 09:38:45.627,Variant 22,22
ORD_e85646dc,seller_accountant_1: Received Task (send_invoice),seller_accountant_1,2020-01-26 09:38:45.627,Variant 22,22
ORD_e85646dc,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-26 13:53:50.330,Variant 22,22
ORD_e85646dc,seller_clerk_1: Started Task (send_delivery_req),seller_clerk_1,2020-01-26 13:53:50.332,Variant 22,22
ORD_e85646dc,seller_clerk_1: Completed Task (send_delivery_req),seller_clerk_1,2020-01-26 14:23:50.439,Variant 22,22
ORD_e85646dc,seller: Send delivery_req,seller,2020-01-26 14:23:50.485,Variant 22,22
ORD_e85646dc,logistics_warehouseman_1: Received Task (on_delivery_req),logistics_warehouseman_1,2020-01-26 14:28:50.587,Variant 22,22
ORD_e85646dc,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-26 14:30:47.685,Variant 22,22
ORD_e85646dc,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-26 14:30:47.686,Variant 22,22
ORD_e85646dc,seller: Send invoice,seller,2020-01-26 14:30:47.731,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Received Task (on_invoice),buyer_purchaser_1,2020-01-26 14:45:54.481,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-26 15:18:50.166,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-26 15:23:50.275,Variant 22,22
ORD_e85646dc,logistics_warehouseman_1: Completed Task (on_delivery_req),logistics_warehouseman_1,2020-01-26 15:30:47.344,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Queued Task (send_pay),buyer_purchaser_1,2020-01-26 15:30:47.386,Variant 22,22
ORD_e85646dc,logistics_courier_1: Queued Task (send_deliver),logistics_courier_1,2020-01-26 15:30:47.392,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-26 15:33:50.488,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-26 15:48:50.585,Variant 22,22
ORD_e85646dc,buyer: Send pay,buyer,2020-01-26 15:48:50.730,Variant 22,22
ORD_e85646dc,seller_accountant_1: Received Task (on_pay),seller_accountant_1,2020-01-26 15:53:30.341,Variant 22,22
ORD_e85646dc,seller_accountant_1: Started Task (on_pay),seller_accountant_1,2020-01-26 15:53:50.793,Variant 22,22
ORD_e85646dc,seller_accountant_1: Completed Task (on_pay),seller_accountant_1,2020-01-26 16:23:51.110,Variant 22,22
ORD_e85646dc,logistics_courier_1: Started Task (send_deliver),logistics_courier_1,2020-01-27 19:19:43.484,Variant 22,22
ORD_e85646dc,logistics_courier_1: Completed Task (send_deliver),logistics_courier_1,2020-01-28 01:49:25.997,Variant 22,22
ORD_e85646dc,logistics: Send deliver,logistics,2020-01-28 01:49:26.048,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Queued Task (on_deliver),buyer_purchaser_1,2020-01-28 07:47:23.971,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Started Task (on_deliver),buyer_purchaser_1,2020-01-28 07:52:24.044,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Completed Task (on_deliver),buyer_purchaser_1,2020-01-28 08:08:42.270,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Received Task (send_confirm),buyer_purchaser_1,2020-01-28 08:23:42.759,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Started Task (send_confirm),buyer_purchaser_1,2020-01-28 09:09:21.407,Variant 22,22
ORD_e85646dc,buyer_purchaser_1: Completed Task (send_confirm),buyer_purchaser_1,2020-01-28 09:19:21.512,Variant 22,22
ORD_e85646dc,buyer: Send confirm,buyer,2020-01-28 09:19:21.655,Variant 22,22
ORD_e85646dc,seller_clerk_1: Queued Task (on_confirm),seller_clerk_1,2020-01-28 09:45:54.563,Variant 22,22
ORD_e85646dc,seller_clerk_1: Started Task (on_confirm),seller_clerk_1,2020-01-28 09:49:21.725,Variant 22,22
ORD_e85646dc,seller_clerk_1: Completed Task (on_confirm),seller_clerk_1,2020-01-28 09:59:21.826,Variant 22,22
ORD_3608c949,buyer_purchaser_1: Received Task (send_order),buyer_purchaser_1,2020-01-26 19:48:15.733,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-27 02:08:50.734,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-27 02:13:50.836,Variant 23,23
ORD_3608c949,buyer: Send order,buyer,2020-01-27 02:13:50.984,Variant 23,23
ORD_3608c949,seller_clerk_1: Queued Task (on_order),seller_clerk_1,2020-01-27 02:31:14.509,Variant 23,23
ORD_3608c949,seller_clerk_1: Started Task (on_order),seller_clerk_1,2020-01-27 02:42:05.859,Variant 23,23
ORD_3608c949,seller_clerk_1: Completed Task (on_order),seller_clerk_1,2020-01-27 03:23:43.898,Variant 23,23
ORD_3608c949,seller_accountant_1: Received Task (send_invoice),seller_accountant_1,2020-01-27 03:23:43.947,Variant 23,23
ORD_3608c949,seller_clerk_1: Queued Task (send_delivery_req),seller_clerk_1,2020-01-27 03:23:43.948,Variant 23,23
ORD_3608c949,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-27 03:33:44.006,Variant 23,23
ORD_3608c949,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-27 04:09:08.147,Variant 23,23
ORD_3608c949,seller: Send invoice,seller,2020-01-27 04:09:08.194,Variant 23,23
ORD_3608c949,seller_clerk_1: Started Task (send_delivery_req),seller_clerk_1,2020-01-27 04:16:04.104,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Received Task (on_invoice),buyer_purchaser_1,2020-01-27 04:16:04.139,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Started Task (on_invoice),buyer_purchaser_1,2020-01-27 04:46:04.200,Variant 23,23
ORD_3608c949,seller_clerk_1: Completed Task (send_delivery_req),seller_clerk_1,2020-01-27 04:46:04.201,Variant 23,23
ORD_3608c949,seller: Send delivery_req,seller,2020-01-27 04:46:04.249,Variant 23,23
ORD_3608c949,logistics_warehouseman_1: Received Task (on_delivery_req),logistics_warehouseman_1,2020-01-27 04:46:04.250,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Completed Task (on_invoice),buyer_purchaser_1,2020-01-27 04:51:04.305,Variant 23,23
ORD_3608c949,logistics_warehouseman_1: Started Task (on_delivery_req),logistics_warehouseman_1,2020-01-27 04:51:04.306,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Received Task (send_pay),buyer_purchaser_1,2020-01-27 04:56:04.451,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Started Task (send_pay),buyer_purchaser_1,2020-01-27 05:06:04.511,Variant 23,23
ORD_3608c949,buyer_purchaser_1: Completed Task (send_pay),buyer_purchaser_1,2020-01-27 05:21:04.716,Variant 23,23
