enactment_id,activity_name,timestamp,agent_name
ORD_5ebec871,buyer: Send order,2020-01-01 09:05:07.576,buyer
ORD_5ebec871,seller_accountant_1: Received Task (send_invoice),2020-01-01 09:43:58.765,seller_accountant_1
ORD_5ebec871,seller_accountant_1: Started Task (send_invoice),2020-01-01 09:43:58.835,seller_accountant_1
ORD_7d8595d1,buyer: Send order,2020-01-01 09:43:58.874,buyer
ORD_5ebec871,seller_accountant_1: Completed Task (send_invoice),2020-01-01 10:11:21.844,seller_accountant_1
ORD_5ebec871,seller: Send invoice,2020-01-01 10:11:21.983,seller
ORD_5ebec871,seller: Send delivery_req,2020-01-01 10:13:59.187,seller
ORD_5ebec871,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 11:11:12.944,logistics_warehouseman_1
ORD_7d8595d1,seller_accountant_1: Received Task (send_invoice),2020-01-01 11:11:12.949,seller_accountant_1
ORD_7d8595d1,seller_accountant_1: Started Task (send_invoice),2020-01-01 11:16:13.016,seller_accountant_1
ORD_5ebec871,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 11:16:13.017,logistics_warehouseman_1
ORD_7d8595d1,seller_accountant_1: Completed Task (send_invoice),2020-01-01 11:45:28.326,seller_accountant_1
ORD_7d8595d1,seller: Send invoice,2020-01-01 11:45:28.465,seller
ORD_7d8595d1,seller: Send delivery_req,2020-01-01 11:46:13.372,seller
ORD_5ebec871,buyer: Send pay,2020-01-01 12:01:13.481,buyer
ORD_7d8595d1,logistics_warehouseman_1: Queued Task (on_delivery_req),2020-01-01 12:06:13.467,logistics_warehouseman_1
ORD_da7e54cb,buyer: Send order,2020-01-01 12:06:13.589,buyer
ORD_5ebec871,seller_accountant_1: Received Task (on_pay),2020-01-01 12:11:13.584,seller_accountant_1
ORD_5ebec871,seller_accountant_1: Started Task (on_pay),2020-01-01 12:16:13.655,seller_accountant_1
ORD_560e5106,buyer: Send order,2020-01-01 12:16:13.803,buyer
ORD_5ebec871,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 12:19:33.403,logistics_warehouseman_1
ORD_7d8595d1,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 12:19:33.406,logistics_warehouseman_1
ORD_5ebec871,logistics_courier_1: Received Task (send_deliver),2020-01-01 12:29:33.530,logistics_courier_1
ORD_7d8595d1,buyer: Send cancel_req,2020-01-01 12:29:33.660,buyer
ORD_5ebec871,logistics_courier_1: Started Task (send_deliver),2020-01-01 12:34:33.620,logistics_courier_1
ORD_2e81673d,buyer: Send order,2020-01-01 12:34:33.766,buyer
ORD_5ebec871,seller_accountant_1: Completed Task (on_pay),2020-01-01 12:46:14.086,seller_accountant_1
ORD_7d8595d1,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 13:24:57.653,logistics_warehouseman_1
ORD_da7e54cb,seller_accountant_1: Received Task (send_invoice),2020-01-01 13:24:57.673,seller_accountant_1
ORD_da7e54cb,seller_accountant_1: Started Task (send_invoice),2020-01-01 13:53:52.417,seller_accountant_1
ORD_7d8595d1,logistics_courier_1: Queued Task (send_deliver),2020-01-01 13:53:52.421,logistics_courier_1
ORD_da7e54cb,seller_accountant_1: Completed Task (send_invoice),2020-01-01 14:20:27.252,seller_accountant_1
ORD_560e5106,seller_accountant_1: Received Task (send_invoice),2020-01-01 14:20:27.267,seller_accountant_1
ORD_da7e54cb,seller: Send invoice,2020-01-01 14:20:27.372,seller
ORD_560e5106,seller_accountant_1: Started Task (send_invoice),2020-01-01 14:29:30.707,seller_accountant_1
ORD_560e5106,seller_accountant_1: Completed Task (send_invoice),2020-01-01 15:06:35.367,seller_accountant_1
ORD_560e5106,seller: Send invoice,2020-01-01 15:06:35.493,seller
ORD_2e81673d,seller_accountant_1: Received Task (send_invoice),2020-01-01 15:23:41.032,seller_accountant_1
ORD_2e81673d,seller_accountant_1: Started Task (send_invoice),2020-01-01 15:48:41.123,seller_accountant_1
ORD_da7e54cb,seller: Send delivery_req,2020-01-01 15:48:41.240,seller
ORD_da7e54cb,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 16:03:41.339,logistics_warehouseman_1
ORD_da7e54cb,buyer: Send cancel_req,2020-01-01 16:03:41.482,buyer
ORD_da7e54cb,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 16:13:24.569,logistics_warehouseman_1
ORD_2e81673d,seller_accountant_1: Completed Task (send_invoice),2020-01-01 16:13:24.570,seller_accountant_1
ORD_2e81673d,seller: Send invoice,2020-01-01 16:13:24.681,seller
ORD_2e81673d,seller: Send delivery_req,2020-01-01 16:18:41.661,seller
ORD_560e5106,buyer: Send pay,2020-01-01 16:28:24.928,buyer
ORD_2e81673d,logistics_warehouseman_1: Queued Task (on_delivery_req),2020-01-01 17:03:22.628,logistics_warehouseman_1
ORD_560e5106,seller_accountant_1: Received Task (on_pay),2020-01-01 17:08:22.736,seller_accountant_1
ORD_560e5106,seller_accountant_1: Started Task (on_pay),2020-01-01 17:13:22.837,seller_accountant_1
ORD_e89215f5,buyer: Send order,2020-01-01 17:13:22.982,buyer
ORD_da7e54cb,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 17:14:18.519,logistics_warehouseman_1
ORD_2e81673d,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 17:14:18.524,logistics_warehouseman_1
ORD_da7e54cb,logistics_courier_1: Queued Task (send_deliver),2020-01-01 17:18:23.055,logistics_courier_1
ORD_dfef5287,buyer: Send order,2020-01-01 17:18:23.197,buyer
ORD_2e81673d,buyer: Send cancel_req,2020-01-01 17:28:23.305,buyer
ORD_560e5106,seller_accountant_1: Completed Task (on_pay),2020-01-01 17:43:23.269,seller_accountant_1
ORD_e89215f5,seller_accountant_1: Received Task (send_invoice),2020-01-01 18:12:46.597,seller_accountant_1
ORD_a7c07475,buyer: Send order,2020-01-01 18:12:46.733,buyer
ORD_e89215f5,seller_accountant_1: Started Task (send_invoice),2020-01-01 18:22:41.452,seller_accountant_1
ORD_2e81673d,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 18:22:41.455,logistics_warehouseman_1
ORD_5ebec871,logistics_courier_1: Completed Task (send_deliver),2020-01-01 18:40:34.928,logistics_courier_1
ORD_7d8595d1,logistics_courier_1: Started Task (send_deliver),2020-01-01 18:40:34.934,logistics_courier_1
ORD_2e81673d,logistics_courier_1: Queued Task (send_deliver),2020-01-01 18:40:34.942,logistics_courier_1
ORD_5ebec871,logistics: Send deliver,2020-01-01 18:40:35.046,logistics
ORD_e89215f5,seller_accountant_1: Completed Task (send_invoice),2020-01-01 18:50:36.559,seller_accountant_1
ORD_dfef5287,seller_accountant_1: Received Task (send_invoice),2020-01-01 18:50:36.569,seller_accountant_1
ORD_e89215f5,seller: Send invoice,2020-01-01 18:50:36.673,seller
ORD_dfef5287,seller_accountant_1: Started Task (send_invoice),2020-01-01 19:14:06.596,seller_accountant_1
ORD_560e5106,seller: Send delivery_req,2020-01-01 19:14:06.707,seller
ORD_560e5106,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 19:38:55.006,logistics_warehouseman_1
ORD_715079d7,buyer: Send order,2020-01-01 19:38:55.146,buyer
ORD_560e5106,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 19:43:55.105,logistics_warehouseman_1
ORD_dfef5287,seller_accountant_1: Completed Task (send_invoice),2020-01-01 19:50:34.110,seller_accountant_1
ORD_dfef5287,seller: Send invoice,2020-01-01 19:50:34.217,seller
ORD_5ebec871,buyer: Send confirm,2020-01-01 19:53:55.573,buyer
ORD_e89215f5,buyer: Send cancel_req,2020-01-01 20:03:55.681,buyer
ORD_e89215f5,seller: Send delivery_req,2020-01-01 20:21:09.435,seller
ORD_560e5106,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 20:46:20.298,logistics_warehouseman_1
ORD_560e5106,logistics_courier_1: Queued Task (send_deliver),2020-01-01 21:01:20.413,logistics_courier_1
ORD_e89215f5,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 21:01:20.413,logistics_warehouseman_1
ORD_dfef5287,buyer: Send pay,2020-01-01 21:01:20.552,buyer
ORD_e89215f5,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 21:08:00.427,logistics_warehouseman_1
ORD_dfef5287,seller_accountant_1: Received Task (on_pay),2020-01-01 21:38:00.536,seller_accountant_1
ORD_dfef5287,seller: Send delivery_req,2020-01-01 21:38:00.644,seller
ORD_e89215f5,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 21:57:03.128,logistics_warehouseman_1
ORD_dfef5287,seller_accountant_1: Started Task (on_pay),2020-01-01 21:57:03.129,seller_accountant_1
ORD_dfef5287,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 22:19:59.595,logistics_warehouseman_1
ORD_e89215f5,logistics_courier_1: Queued Task (send_deliver),2020-01-01 22:19:59.596,logistics_courier_1
ORD_dfef5287,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 22:27:03.333,logistics_warehouseman_1
ORD_dfef5287,seller_accountant_1: Completed Task (on_pay),2020-01-01 22:27:03.337,seller_accountant_1
ORD_715079d7,seller_accountant_1: Received Task (send_invoice),2020-01-01 22:27:03.344,seller_accountant_1
ORD_715079d7,seller_accountant_1: Started Task (send_invoice),2020-01-01 22:29:59.795,seller_accountant_1
ORD_715079d7,seller_accountant_1: Completed Task (send_invoice),2020-01-01 23:01:33.956,seller_accountant_1
ORD_715079d7,seller: Send invoice,2020-01-01 23:01:34.071,seller
ORD_a7c07475,seller: Send reject,2020-01-01 23:14:58.430,seller
ORD_dfef5287,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 23:27:16.317,logistics_warehouseman_1
ORD_dfef5287,logistics_courier_1: Queued Task (send_deliver),2020-01-01 23:32:16.427,logistics_courier_1
ORD_715079d7,seller: Send delivery_req,2020-01-01 23:44:58.746,seller
ORD_715079d7,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-02 00:04:58.853,logistics_warehouseman_1
ORD_715079d7,buyer: Send pay,2020-01-02 00:04:58.995,buyer
ORD_715079d7,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-02 00:11:18.488,logistics_warehouseman_1
ORD_7d8595d1,logistics_courier_1: Completed Task (send_deliver),2020-01-02 00:11:18.490,logistics_courier_1
ORD_da7e54cb,logistics_courier_1: Started Task (send_deliver),2020-01-02 00:11:18.497,logistics_courier_1
ORD_7d8595d1,logistics: Send deliver,2020-01-02 00:11:18.599,logistics
ORD_715079d7,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-02 01:08:12.385,logistics_warehouseman_1
ORD_715079d7,seller_accountant_1: Received Task (on_pay),2020-01-02 01:08:12.388,seller_accountant_1
ORD_da7e54cb,logistics_courier_1: Completed Task (send_deliver),2020-01-02 06:51:56.338,logistics_courier_1
ORD_715079d7,seller_accountant_1: Started Task (on_pay),2020-01-02 06:51:56.339,seller_accountant_1
ORD_2e81673d,logistics_courier_1: Started Task (send_deliver),2020-01-02 06:51:56.344,logistics_courier_1
