enactment_id,activity_name,timestamp,agent_name
ORD_bc914d52,buyer: Send order,2020-01-01 09:05:08.643,buyer
ORD_bc914d52,seller_accountant_1: Received Task (send_invoice),2020-01-01 09:53:00.124,seller_accountant_1
ORD_bc914d52,seller_accountant_1: Started Task (send_invoice),2020-01-01 09:53:00.196,seller_accountant_1
ORD_bc914d52,seller_accountant_1: Completed Task (send_invoice),2020-01-01 10:17:09.847,seller_accountant_1
ORD_bc914d52,seller: Send invoice,2020-01-01 10:17:09.992,seller
ORD_bc914d52,seller: Send delivery_req,2020-01-01 10:23:00.543,seller
ORD_bc914d52,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 10:28:00.647,logistics_warehouseman_1
ORD_d4fe309c,buyer: Send order,2020-01-01 10:28:00.651,buyer
ORD_bc914d52,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 10:33:00.716,logistics_warehouseman_1
ORD_95fab5b2,buyer: Send order,2020-01-01 10:38:00.967,buyer
ORD_d4fe309c,seller_accountant_1: Received Task (send_invoice),2020-01-01 11:23:06.074,seller_accountant_1
ORD_bc914d52,buyer: Send cancel_req,2020-01-01 11:23:06.187,buyer
ORD_d4fe309c,seller_accountant_1: Started Task (send_invoice),2020-01-01 11:34:17.652,seller_accountant_1
ORD_bc914d52,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 11:34:17.653,logistics_warehouseman_1
ORD_bc914d52,logistics_courier_1: Received Task (send_deliver),2020-01-01 12:04:17.786,logistics_courier_1
ORD_d4fe309c,seller: Send delivery_req,2020-01-01 12:04:17.891,seller
ORD_bc914d52,logistics_courier_1: Started Task (send_deliver),2020-01-01 12:07:03.798,logistics_courier_1
ORD_d4fe309c,seller_accountant_1: Completed Task (send_invoice),2020-01-01 12:07:03.799,seller_accountant_1
ORD_d4fe309c,seller: Send invoice,2020-01-01 12:07:03.935,seller
ORD_d4fe309c,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-01 12:55:42.948,logistics_warehouseman_1
ORD_d4fe309c,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 13:27:54.485,logistics_warehouseman_1
ORD_95fab5b2,seller_accountant_1: Received Task (send_invoice),2020-01-01 13:27:54.515,seller_accountant_1
ORD_95fab5b2,seller_accountant_1: Started Task (send_invoice),2020-01-01 13:32:54.593,seller_accountant_1
ORD_80e7f9ed,buyer: Send order,2020-01-01 13:32:54.737,buyer
ORD_95fab5b2,seller: Send delivery_req,2020-01-01 14:02:54.932,seller
ORD_95fab5b2,seller_accountant_1: Completed Task (send_invoice),2020-01-01 14:08:25.838,seller_accountant_1
ORD_95fab5b2,seller: Send invoice,2020-01-01 14:08:25.967,seller
ORD_95fab5b2,logistics_warehouseman_1: Queued Task (on_delivery_req),2020-01-01 14:18:25.955,logistics_warehouseman_1
ORD_d4fe309c,buyer: Send cancel_req,2020-01-01 14:18:26.088,buyer
ORD_d4fe309c,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 14:27:25.411,logistics_warehouseman_1
ORD_95fab5b2,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-01 14:27:25.417,logistics_warehouseman_1
ORD_d4fe309c,logistics_courier_2: Received Task (send_deliver),2020-01-01 14:46:17.429,logistics_courier_2
ORD_d4fe309c,logistics_courier_2: Started Task (send_deliver),2020-01-01 14:51:17.521,logistics_courier_2
ORD_effd2ae5,buyer: Send order,2020-01-01 14:56:17.767,buyer
ORD_80e7f9ed,seller: Send reject,2020-01-01 15:32:03.591,seller
ORD_95fab5b2,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-01 15:38:11.712,logistics_warehouseman_1
ORD_95fab5b2,logistics_courier_3: Received Task (send_deliver),2020-01-01 15:42:03.691,logistics_courier_3
ORD_95fab5b2,buyer: Send pay,2020-01-01 15:42:03.826,buyer
ORD_95fab5b2,logistics_courier_3: Started Task (send_deliver),2020-01-01 16:29:24.568,logistics_courier_3
ORD_effd2ae5,seller_accountant_1: Received Task (send_invoice),2020-01-01 16:34:24.687,seller_accountant_1
ORD_95fab5b2,seller_accountant_1: Received Task (on_pay),2020-01-01 16:34:24.689,seller_accountant_1
ORD_effd2ae5,seller_accountant_1: Started Task (send_invoice),2020-01-01 17:30:51.185,seller_accountant_1
ORD_bc914d52,logistics_courier_1: Completed Task (send_deliver),2020-01-01 17:30:51.186,logistics_courier_1
ORD_bc914d52,logistics: Send deliver,2020-01-01 17:30:51.300,logistics
ORD_effd2ae5,seller_accountant_1: Completed Task (send_invoice),2020-01-01 17:58:24.806,seller_accountant_1
ORD_95fab5b2,seller_accountant_1: Started Task (on_pay),2020-01-01 17:58:24.810,seller_accountant_1
ORD_effd2ae5,seller: Send invoice,2020-01-01 17:58:24.915,seller
ORD_95fab5b2,seller_accountant_1: Completed Task (on_pay),2020-01-01 18:28:24.912,seller_accountant_1
ORD_d4fe309c,logistics_courier_2: Completed Task (send_deliver),2020-01-01 20:25:00.471,logistics_courier_2
ORD_d4fe309c,logistics: Send deliver,2020-01-01 20:25:00.581,logistics
ORD_b62923d0,buyer: Send order,2020-01-01 20:45:14.026,buyer
ORD_e49df3eb,buyer: Send order,2020-01-01 21:11:48.315,buyer
ORD_effd2ae5,buyer: Send cancel_req,2020-01-01 21:21:48.423,buyer
ORD_95fab5b2,logistics_courier_3: Completed Task (send_deliver),2020-01-01 22:29:11.077,logistics_courier_3
ORD_b62923d0,seller_accountant_1: Received Task (send_invoice),2020-01-01 22:29:11.082,seller_accountant_1
ORD_95fab5b2,logistics: Send deliver,2020-01-01 22:29:11.184,logistics
ORD_b62923d0,seller_accountant_1: Started Task (send_invoice),2020-01-01 23:17:15.590,seller_accountant_1
ORD_b62923d0,seller_accountant_1: Completed Task (send_invoice),2020-01-01 23:44:20.360,seller_accountant_1
ORD_e49df3eb,seller_accountant_1: Received Task (send_invoice),2020-01-01 23:44:20.369,seller_accountant_1
ORD_b62923d0,seller: Send invoice,2020-01-01 23:44:20.471,seller
ORD_e49df3eb,seller_accountant_1: Started Task (send_invoice),2020-01-01 23:47:15.798,seller_accountant_1
ORD_b62923d0,seller: Send delivery_req,2020-01-01 23:47:15.910,seller
ORD_d148c8ed,buyer: Send order,2020-01-01 23:49:20.716,buyer
ORD_b62923d0,logistics_warehouseman_1: Received Task (on_delivery_req),2020-01-02 00:06:35.134,logistics_warehouseman_1
ORD_b62923d0,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-02 00:11:35.229,logistics_warehouseman_1
ORD_e49df3eb,seller_accountant_1: Completed Task (send_invoice),2020-01-02 00:11:52.436,seller_accountant_1
ORD_e49df3eb,seller: Send invoice,2020-01-02 00:11:52.546,seller
ORD_95fab5b2,buyer: Send confirm,2020-01-02 00:21:52.792,buyer
ORD_b62923d0,buyer: Send pay,2020-01-02 00:36:52.897,buyer
