Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index
ORD_9f5eadd5,buyer_purchaser_1: Queued Task (send_order),buyer_purchaser_1,2020-01-23 12:52:13.454,Variant 13,13
ORD_9f5eadd5,buyer_purchaser_1: Started Task (send_order),buyer_purchaser_1,2020-01-23 13:01:25.578,Variant 13,13
ORD_9f5eadd5,buyer_purchaser_1: Completed Task (send_order),buyer_purchaser_1,2020-01-23 13:06:25.664,Variant 13,13
ORD_9f5eadd5,buyer: Send order,buyer,2020-01-23 13:06:25.809,Variant 13,13
ORD_9f5eadd5,seller_clerk_4: Queued Task (on_order),seller_clerk_4,2020-01-23 13:09:43.962,Variant 13,13
ORD_9f5eadd5,seller_clerk_4: Started Task (on_order),seller_clerk_4,2020-01-23 13:30:55.755,Variant 13,13
ORD_9f5eadd5,seller_clerk_4: Completed Task (on_order),seller_clerk_4,2020-01-23 14:16:36.692,Variant 13,13
ORD_9f5eadd5,seller_clerk_2: Received Task (send_delivery_req),seller_clerk_2,2020-01-23 14:16:36.744,Variant 13,13
ORD_9f5eadd5,seller_accountant_1: Queued Task (send_invoice),seller_accountant_1,2020-01-23 14:16:36.744,Variant 13,13
ORD_9f5eadd5,seller_clerk_2: Started Task (send_delivery_req),seller_clerk_2,2020-01-23 14:17:25.349,Variant 13,13
ORD_9f5eadd5,seller_clerk_2: Completed Task (send_delivery_req),seller_clerk_2,2020-01-23 14:47:26.077,Variant 13,13
ORD_9f5eadd5,seller: Send delivery_req,seller,2020-01-23 14:47:26.122,Variant 13,13
ORD_9f5eadd5,logistics_warehouseman_1: Queued Task (on_delivery_req),logistics_warehouseman_1,2020-01-23 14:47:26.123,Variant 13,13
ORD_9f5eadd5,seller_accountant_1: Started Task (send_invoice),seller_accountant_1,2020-01-23 17:49:18.290,Variant 13,13
ORD_9f5eadd5,seller_accountant_1: Completed Task (send_invoice),seller_accountant_1,2020-01-23 18:14:07.750,Variant 13,13
ORD_9f5eadd5,seller: Send invoice,seller,2020-01-23 18:14:07.799,Variant 13,13
